scenario_id,scenario_path,intersection_layout,time,time_of_day,scenario_id.1,vehicles,conflict,weather,conflict_detect_at,scenario_images_path
3708,frames_dataset/scenarios/4_ways_scenarios/scenario_3708,4 ways,15:53:50,afternoon,3708,3,yes,sunny,north,"{'frame_5.jpg': 'https://drive.google.com/uc?id=14RS1oTuhGwI7JNW8MUTsWSIli0KtqYNp', 'frame_4.jpg': 'https://drive.google.com/uc?id=14S_g0jmjqEIVororDbcHJLoUR_GreH2Y', 'frame_3.jpg': 'https://drive.google.com/uc?id=14VAENmVGf1gT-KiZ703fPaftHw3ZGXWv', 'frame_2.jpg': 'https://drive.google.com/uc?id=14VPtwsBbYF9ByqMXSdDMqyC5669-ZMWf', 'frame_1.jpg': 'https://drive.google.com/uc?id=14Zh0fzQT3Q1HFJCYcRD9FRqiZYbgHfNQ'}"
4287,frames_dataset/scenarios/4_ways_scenarios/scenario_4287,4 ways,10:20:46,morning,4287,2,no,sunny,,"{'frame_5.jpg': 'https://drive.google.com/uc?id=1Ef7e9vNpdsFiakQzlk2iICUPI9V050QJ', 'frame_4.jpg': 'https://drive.google.com/uc?id=1Ef7tgDp6LvHoMryXbOHxyfLS-bwXdlSK', 'frame_3.jpg': 'https://drive.google.com/uc?id=1EiLyUBWa3-HP8DmZ8VGAp9uYpuIfWmkF', 'frame_2.jpg': 'https://drive.google.com/uc?id=1EjE9g-1togD2mbptZC5Hc6He-WX1fAZ0', 'frame_1.jpg': 'https://drive.google.com/uc?id=1EkU84WeUWqBLX2P7EV-cvXI6rbjQ8-FQ'}"
3053,frames_dataset/scenarios/4_ways_scenarios/scenario_3053,4 ways,13:21:00,afternoon,3053,2,no,sunny,,"{'frame_5.jpg': 'https://drive.google.com/uc?id=1bj1P_M655DRjbsn1KZkFkUUs-ElCjHe9', 'frame_4.jpg': 'https://drive.google.com/uc?id=1bji0i0FELhC2fYMie2A-GH8uO3Wy2e57', 'frame_3.jpg': 'https://drive.google.com/uc?id=1bn3RYtB6F2pDYM8SO426fgcU0WH8a7sC', 'frame_2.jpg': 'https://drive.google.com/uc?id=1bolL5HZn7bBGAJBxvPySROCji6i4QXXQ', 'frame_1.jpg': 'https://drive.google.com/uc?id=1bvAwc1KTGWxpZ-vALuRs5SVdY1bvX2nX'}"
3695,frames_dataset/scenarios/4_ways_scenarios/scenario_3695,4 ways,15:53:50,afternoon,3695,2,yes,sunny,north,"{'frame_5.jpg': 'https://drive.google.com/uc?id=11UG_hkuZuioskuT-WO_YJqgcBORsYLCS', 'frame_4.jpg': 'https://drive.google.com/uc?id=11UMkPOctZGszoKH4arxwv17cwMAExy4R', 'frame_3.jpg': 'https://drive.google.com/uc?id=11Uha-HbtVQZ3cnsCQHrisVrN30ZnPFFu', 'frame_2.jpg': 'https://drive.google.com/uc?id=11UuqGBiuOfoyRWCXOSCX-hBeuAvaDLE5', 'frame_1.jpg': 'https://drive.google.com/uc?id=11VGzV89T9xnGIUm8pK4CoN10wtpIYj8q'}"
6069,frames_dataset/scenarios/4_ways_scenarios/scenario_6069,4 ways,15:54:10,afternoon,6069,2,yes,cloudy,"north,south","{'frame_5.jpg': 'https://drive.google.com/uc?id=1S437x5JaGOu4t-532y73H7us0AXPKm0l', 'frame_4.jpg': 'https://drive.google.com/uc?id=1S44_61V0oqsQMQ9dwna24VDyl4sqy6Xw', 'frame_3.jpg': 'https://drive.google.com/uc?id=1S4cmE96kfMkqCkVAA5nCjnQUs3thzFfa', 'frame_2.jpg': 'https://drive.google.com/uc?id=1S4wLWJ1exE7ACUjyOfHfwKka9NHfu1dD', 'frame_1.jpg': 'https://drive.google.com/uc?id=1S5TKpzO2QavpKfNp_AjmLu0kRopAs9jW'}"
4019,frames_dataset/scenarios/4_ways_scenarios/scenario_4019,4 ways,15:54:07,afternoon,4019,4,yes,cloudy,north,"{'frame_5.jpg': 'https://drive.google.com/uc?id=1gNQD8RRTYlyr2ow6jjv2E-_h59ttDzLo', 'frame_4.jpg': 'https://drive.google.com/uc?id=1gOzpz-ammvYzyP2FqrHXyhfAUX0KhvXo', 'frame_3.jpg': 'https://drive.google.com/uc?id=1gQIjNfPe7T2lMMM-VlnDn_S81J1BVoqJ', 'frame_2.jpg': 'https://drive.google.com/uc?id=1gRxmgds4htQ34g_dCMj6BE0FzruBgI24', 'frame_1.jpg': 'https://drive.google.com/uc?id=1gVq4tDJsUxrOMZojZWvJzulSAUTs8dDj'}"
4097,frames_dataset/scenarios/4_ways_scenarios/scenario_4097,4 ways,16:18:39,afternoon,4097,4,yes,cloudy,north,"{'frame_5.jpg': 'https://drive.google.com/uc?id=1r63_LV8KjJAE2gCzhHWBco8SXcTMRCJF', 'frame_4.jpg': 'https://drive.google.com/uc?id=1r6SyzhenD_4f0SDb1lAt0yhPEjFkzfXo', 'frame_3.jpg': 'https://drive.google.com/uc?id=1r77IEKFM42kAC3QCZfixPr01vgs6-9gK', 'frame_2.jpg': 'https://drive.google.com/uc?id=1r7hmYgo_jUTO6whyiAuo_WmYx2UUIqg5', 'frame_1.jpg': 'https://drive.google.com/uc?id=1rA_6obLh7lwRIGv55C8KVn-zox5Vzf_J'}"
4352,frames_dataset/scenarios/4_ways_scenarios/scenario_4352,4 ways,10:41:48,morning,4352,4,yes,sunny,north,"{'frame_5.jpg': 'https://drive.google.com/uc?id=1M4TTTaEnLu9HuOz7GL_82w2-SdPsqxs-', 'frame_4.jpg': 'https://drive.google.com/uc?id=1M4tJVBOjajrPpG8P2flElo7TJVYh_rTH', 'frame_3.jpg': 'https://drive.google.com/uc?id=1M6eC74bcmwIeO5_SPCS1dPLOhq4hQ7ce', 'frame_2.jpg': 'https://drive.google.com/uc?id=1MCKzAMR4ag5mPkCTCw9apsQW6jym2gMw', 'frame_1.jpg': 'https://drive.google.com/uc?id=1MDXicOgCnj7i54Uot1H3sbxOIvHaSHCX'}"
4382,frames_dataset/scenarios/4_ways_scenarios/scenario_4382,4 ways,10:41:48,morning,4382,3,yes,sunny,north,"{'frame_5.jpg': 'https://drive.google.com/uc?id=1RBB2XJShA6MRb-Xqr2f4L2Y5dpdGreff', 'frame_4.jpg': 'https://drive.google.com/uc?id=1RDrIdwwVrr-PoacukHd81m5td9tqKaD1', 'frame_3.jpg': 'https://drive.google.com/uc?id=1RKJuSDQftsg4UIdBOFr_6lWfMyyiqOzx', 'frame_2.jpg': 'https://drive.google.com/uc?id=1RKUU1lW5YnQHBuSwz8sCvqOGCwowi1bk', 'frame_1.jpg': 'https://drive.google.com/uc?id=1RMcSkqfs0FUgxTqiAw2L3QpjTFVhvkI5'}"
2729,frames_dataset/scenarios/4_ways_scenarios/scenario_2729,4 ways,7:31:03,morning,2729,2,no,sunny,,"{'frame_5.jpg': 'https://drive.google.com/uc?id=1R8imlM0V29_nA5erMNQG9xzLK6X--dpd', 'frame_4.jpg': 'https://drive.google.com/uc?id=1RCBYNX9LcEzlsiaLfzNNP__5BS5cA9i7', 'frame_3.jpg': 'https://drive.google.com/uc?id=1REZGsqvpIbJ6PaJYhmmGIfwS7FkZsqyd', 'frame_2.jpg': 'https://drive.google.com/uc?id=1RK3w776D6UKrUh-y1vpu2StXd-6qsipF', 'frame_1.jpg': 'https://drive.google.com/uc?id=1RQO2MzLz-Y49u07KpNuX45gV3_8yhJuw'}"
